epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.5584,1.25949,3.44049,1.748,0.00237,0.83766,0.13738,0.06486,1.59531,4.36984,2.3892,0.0001667,0.0001667,0.0001667
2,128.172,1.09454,3.13313,1.60676,0.00224,0.80195,0.28217,0.11965,1.95924,4.41961,2.76317,0.000346604,0.000346604,0.000346604
3,183.26,1.21176,2.9644,1.65316,0.00266,0.93669,0.21784,0.08921,1.8553,4.38332,2.5401,0.000522878,0.000522878,0.000522878
4,237.043,1.34688,2.95694,1.72915,0.00263,0.91883,0.04452,0.01605,2.11694,4.68638,2.84844,0.000695521,0.000695521,0.000695521
5,291.818,1.43859,2.84985,1.7934,0.00259,0.90097,0.05394,0.01161,2.5061,4.84194,3.48366,0.000864533,0.000864533,0.000864533
6,345.597,1.46986,2.76083,1.82004,0.00216,0.71104,0.02273,0.00768,2.97299,5.39334,3.53258,0.00102991,0.00102991,0.00102991
7,399.926,1.46894,2.668,1.86047,0.60252,0.04545,0.24647,0.08912,2.11544,4.42314,3.28533,0.00119166,0.00119166,0.00119166
8,454.805,1.45623,2.7324,1.83408,0.02599,0.68506,0.13574,0.04462,2.68138,4.56879,4.39867,0.00134978,0.00134978,0.00134978
9,510.747,1.5179,2.65872,1.88014,0.17014,0.21801,0.14922,0.05562,2.46251,4.70926,3.94059,0.00150427,0.00150427,0.00150427
10,567.444,1.54698,2.70465,1.8667,0.23268,0.06331,0.06335,0.03647,3.42202,5.90004,4.42974,0.00151847,0.00151847,0.00151847
11,622.532,1.61261,2.68748,1.91593,0.71088,0.04545,0.03919,0.01729,3.36544,5.50575,4.53515,0.00150197,0.00150197,0.00150197
12,676.4,1.57883,2.64357,1.92077,0.14508,0.12623,0.03633,0.01802,3.51045,5.2751,4.58548,0.00148546,0.00148546,0.00148546
13,731.04,1.51644,2.61666,1.87959,0.01966,0.08117,0.01376,0.00472,3.46138,5.62761,4.47229,0.00146896,0.00146896,0.00146896
14,784.235,1.57574,2.65254,1.92132,0.08999,0.30844,0.02096,0.00848,2.871,7.43854,3.78133,0.00145246,0.00145246,0.00145246
15,837.679,1.49249,2.51532,1.83415,0.61472,0.10735,0.1637,0.04402,2.56791,5.37957,3.26484,0.00143595,0.00143595,0.00143595
16,892.672,1.51288,2.60233,1.86006,0.04236,0.32468,0.02972,0.00946,2.66211,7.14491,3.43105,0.00141945,0.00141945,0.00141945
17,946.532,1.44912,2.45626,1.80281,0.42517,0.21753,0.18574,0.10839,2.29795,5.13512,3.40546,0.00140295,0.00140295,0.00140295
18,999.962,1.55272,2.48051,1.90523,0.46425,0.2776,0.2058,0.09312,2.10404,3.92035,2.99985,0.00138644,0.00138644,0.00138644
19,1055.58,1.56551,2.52944,1.91268,0.19954,0.18831,0.19612,0.0716,2.34418,3.78339,3.14044,0.00136994,0.00136994,0.00136994
20,1112.43,1.57244,2.47772,1.88493,0.5413,0.30341,0.14832,0.05093,2.01905,4.27522,2.95364,0.00135344,0.00135344,0.00135344
21,1167.66,1.43273,2.30595,1.78043,0.08896,0.20779,0.04886,0.02045,2.11567,4.87436,2.8153,0.00133693,0.00133693,0.00133693
22,1221.23,1.45517,2.34584,1.81797,0.29171,0.1526,0.13571,0.06356,2.10455,4.34905,2.71303,0.00132043,0.00132043,0.00132043
23,1276.24,1.41078,2.27283,1.75895,0.23233,0.18994,0.13102,0.04765,2.77802,4.33537,3.21371,0.00130393,0.00130393,0.00130393
24,1332.59,1.43094,2.24735,1.83479,0.26966,0.34416,0.16834,0.06635,2.22829,3.83588,3.08247,0.00128742,0.00128742,0.00128742
25,1387.03,1.37867,2.23768,1.78665,0.22326,0.32468,0.16812,0.06171,2.12148,3.3892,3.0936,0.00127092,0.00127092,0.00127092
26,1436.82,1.41942,2.16078,1.80149,0.17261,0.26081,0.15155,0.06221,2.14502,3.11729,3.01606,0.00125442,0.00125442,0.00125442
27,1487.44,1.43386,2.19735,1.80089,0.21551,0.35227,0.14016,0.05864,2.11831,3.25638,2.90585,0.00123791,0.00123791,0.00123791
28,1538.11,1.42821,2.20885,1.7813,0.10979,0.22727,0.10847,0.04307,2.26373,3.45563,2.94047,0.00122141,0.00122141,0.00122141
29,1588.01,1.37577,2.067,1.73153,0.2296,0.2208,0.14367,0.06,2.24494,3.29995,2.9583,0.00120491,0.00120491,0.00120491
30,1638.62,1.42432,2.21415,1.81012,0.28377,0.26948,0.24636,0.11669,2.12066,3.10618,2.79469,0.0011884,0.0011884,0.0011884
31,1690.75,1.38843,2.17534,1.78939,0.41243,0.20396,0.21144,0.10879,2.14482,3.26325,2.74619,0.0011719,0.0011719,0.0011719
32,1744.45,1.36844,2.13583,1.73003,0.17752,0.28084,0.16046,0.09539,2.31683,3.69261,2.96145,0.0011554,0.0011554,0.0011554
33,1796.43,1.42349,2.18752,1.775,0.43607,0.40747,0.18881,0.09172,2.44095,3.96519,3.06618,0.00113889,0.00113889,0.00113889
34,1846.68,1.33403,2.1043,1.71083,0.34858,0.38731,0.27968,0.13608,2.42218,3.01538,3.01701,0.00112239,0.00112239,0.00112239
